id_1,id_2,ticker,assessment_year,Environmental Dimension,Governance & Economic Dimension,Social Dimension,price,ibov,esg,delta_e,delta_s,delta_g,delta_alpha,delta_esg
13,13,AMAR3,2020,0.0,9.041834,3.393588,6.52,119017,4.145140666666666,0.0,0.0,0.0,0.0,0.0
14,14,AMBP3,2020,0.0,4.779487,0.0,26.7,119017,1.5931623333333331,0.0,0.0,0.0,0.0,0.0
15,15,ANIM3,2020,0.0,6.450894,0.0,36.03,119017,2.150298,0.0,0.0,0.0,0.0,0.0
16,16,AZUL4,2017,6.521739,22.867674,16.470588,26.9,76402,15.286667,-6.521739,-14.391203,-14.411764,0.0009148156629264944,-11.774901999999999
17,17,AZUL4,2018,0.0,8.476471,2.058824,34.89,85136,3.511765,3.135849,4.677135999999999,6.877941,0.0007509259562751973,4.896975333333332
18,18,AZUL4,2019,3.135849,13.153607,8.936765,57.8,115645,8.408740333333332,24.582871,46.506813,50.969122,-0.00594009489916963,40.68626866666667
19,19,AZUL4,2020,27.71872,59.66042,59.905887,37.77,119017,49.095009000000005,0.0,0.0,0.0,0.0,0.0
20,20,BBAS3,2013,75.58185,86.165552,80.143432,24.4,51507,80.63027800000002,4.784497999999999,4.199664999999996,5.559511999999998,0.0004199999999999993,4.847891666666641
21,21,BBAS3,2014,80.366348,90.365217,85.702944,23.77,50007,85.47816966666666,0.20278199999999913,-6.139938999999998,-0.23007599999999684,0.0013564668769716088,-2.0557443333333225
22,22,BBAS3,2015,80.56913,84.225278,85.472868,14.74,43350,83.42242533333334,5.668483999999992,2.644488999999993,-1.1489520000000084,0.0007910173609053741,2.3880069999999876
23,23,BBAS3,2016,86.237614,86.869767,84.323916,28.09,60227,85.81043233333332,0.6040040000000033,-4.799717999999999,-8.379178999999993,0.0002306027820710974,-4.191630999999987
24,24,BBAS3,2017,86.841618,82.070049,75.944737,31.82,76402,81.61880133333334,-0.4798929999999899,-5.056865999999999,-3.245473000000004,0.0014380581634989699,-2.927410666666674
25,25,BBAS3,2018,86.361725,77.013183,72.699264,44.38,85136,78.69139066666666,2.3694579999999945,5.130772000000007,18.384325000000004,0.0002815562620865973,8.628185000000002
26,26,BBAS3,2019,88.731183,82.143955,91.083589,52.97,115645,87.31957566666667,7.928997999999993,-0.6921650000000028,-6.485014499999991,-0.004039145907473309,0.2506061666666568
27,27,BBAS3,2020,96.660181,81.45179,84.59857450000001,39.35,119017,87.57018183333332,0.0,0.0,0.0,0.0,0.0
28,28,BBDC4,2013,70.542917,90.937544,77.528857,29.09,51507,79.66977266666667,-1.3307570000000055,-1.7221389999999985,3.412378000000004,-0.003980000000000002,0.11982733333333329
29,29,BBDC4,2014,69.21216,89.215405,80.941235,35.06,50007,79.78960000000001,-5.0622259999999955,-7.175893000000002,1.8547089999999997,0.0023704371338440743,-3.4611366666666754
30,30,BBDC4,2015,64.149934,82.039512,82.795944,19.28,43350,76.32846333333333,7.189318999999998,3.9319009999999963,0.8680829999999986,0.0005759317414232387,3.9964343333333403
31,31,BBDC4,2016,71.339253,85.971413,83.664027,29.0,60227,80.32489766666667,16.892022999999995,-1.5095809999999972,8.516753999999992,0.0002998454404945905,7.966398666666649
32,32,BBDC4,2017,88.231276,84.461832,92.180781,33.85,76402,88.29129633333332,0.658292000000003,-6.2714500000000015,-2.5801579999999973,0.00031486146095717883,-2.731105333333332
33,33,BBDC4,2018,88.889568,78.190382,89.600623,36.6,85136,85.56019099999999,-0.5888319999999965,-4.586382999999998,4.802937,-1.2455341046904276e-05,-0.1240926666666411
34,34,BBDC4,2019,88.300736,73.603999,94.40356,36.22,115645,85.43609833333335,7.629289,6.556367999999992,-1.946444999999997,-0.002440688018979834,4.079737333333313
