assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2020,HEA Health Care Providers & Services,316983890,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HEA Health Care Providers & Services,316983890,Governance & Economic Dimension,Privacy Protection,3,0.0
2020,HEA Health Care Providers & Services,316983890,Governance & Economic Dimension,Risk & Crisis Management,6,12.0
2020,HEA Health Care Providers & Services,316983890,Governance & Economic Dimension,Supply Chain Management,6,0.0
2020,HEA Health Care Providers & Services,316983890,S&P Global ESG Score,Environmental Dimension,11,10.987665
2020,HEA Health Care Providers & Services,316983890,S&P Global ESG Score,Governance & Economic Dimension,47,18.351019
2020,HEA Health Care Providers & Services,316983890,S&P Global ESG Score,Social Dimension,42,28.443524
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Corporate Citizenship & Philanthropy,4,56.7
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Human Capital Development,8,18.75
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Human Rights,4,5.0
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Labor Practice Indicators,4,56.332
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Occupational Health & Safety,5,0.0
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Partnerships Towards Sustainable Healthcare,3,0.0
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Social Reporting,4,50.0
2020,HEA Health Care Providers & Services,316983890,Social Dimension,Talent Attraction & Retention,10,37.25
2020,HEA Health Care Providers & Services,316983890,,S&P Global ESG Score,100,21.779902
2020,HOM Homebuilding,767610,Environmental Dimension,Biodiversity,3,0.0
2020,HOM Homebuilding,767610,Environmental Dimension,Building Materials,6,11.0
2020,HOM Homebuilding,767610,Environmental Dimension,Climate Strategy,5,0.0
2020,HOM Homebuilding,767610,Environmental Dimension,Environmental Policy & Management Systems,5,0.0
2020,HOM Homebuilding,767610,Environmental Dimension,Environmental Reporting,4,0.0
2020,HOM Homebuilding,767610,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,HOM Homebuilding,767610,Environmental Dimension,Resource Conservation & Resource Efficiency,7,0.0
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Codes of Business Conduct,8,13.23
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Corporate Governance,8,25.912281
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Materiality,3,0.0
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Policy Influence,2,0.0
2020,HOM Homebuilding,767610,Governance & Economic Dimension,Risk & Crisis Management,6,29.3
2020,HOM Homebuilding,767610,S&P Global ESG Score,Environmental Dimension,37,1.783784
2020,HOM Homebuilding,767610,S&P Global ESG Score,Governance & Economic Dimension,29,16.85994
2020,HOM Homebuilding,767610,S&P Global ESG Score,Social Dimension,34,1.235294
