ticker,FQ22021,FQ12021,FQ42020,FQ32020,FQ22020,FQ12020,FQ42019,FQ32019,FQ22019,FQ12019,FQ42018,FQ32018,FQ22018,FQ12018
MTSA4,,,,,,,,,,,,,,
MILS3,,,,,,,,,,,,,,
BEEF3,,,,,,,,,,,,,,
MNPR3,,,,,,,,,,,,,,
MTRE3,,,,,,,,,,,,,,
MMXM3,,,,,,,,,,,,,,
MBLY3,,,,,,,,,,,,,,
MOAR3,,,,,,,,,,,,,,
MOSI3,,,,,,,,,,,,,,
MDNE3,,,,,,,,,,,,,,
MOVI3,,,,,,,,,,,,,,
ESPA3,,,,,,,,,,,,,,
MRVE3,9.761842137,16.1599659,11.66527135,13.87643163,19.93797076,13.83113361,15.77691226,12.27625755,11.42226788,8.219355142,7.200950805,7.865700681,8.073601202,11.33731477
MLAS3,,,,,,,,,,,,,,
MULT3,37.49202297,79.10206718,24.40871369,5.128814275,43.54290569,16.14759648,35.12308998,35.52955665,35.95854922,37.99545159,32.56966774,24.14816727,19.45126945,34.85586632
MNDL3,,,,,,,,,,,,,,
NTCO3,,,,,,,,,,,,,,
NEOE3,,,,,,,,,,,,,,
NGRD3,,,,,,,,,,,,,,
NEWL11,,,,,,,,,,,,,,
NORD3,,,,,,,,,,,,,,
GNDI3,,,,,,,,,,,,,,
NUTR3,,,,,,,,,,,,,,
OPCT3,,,,,,,,,,,,,,
ODPV3,,,,,,,,,,,,,,
OIBR4,,,,,,,,,,,,,,
OMGE3,,,,,,,,,,,,,,
ONCO3,,,,,,,,,,,,,,
ORVR3,,,,,,,,,,,,,,
OSXB3,,,,,,,,,,,,,,
OUJP11,,,,,,,,,,,,,,
OFSA3,,,,,,,,,,,,,,
ORPD11,,,,,,,,,,,,,,
PATI4,,,,,,,,,,,,,,
PMAM3,0.740386912,,0.689029818,,,,,2.31436837,2.312700829,,8.029472889,,,
PQDP11,,,,,,,,,,,,,,
PATL11,,,,,,,,,,,,,,
PTBL3,,,,,,,,,,,,,,
PDGR3,,,0.113599214,,,,,,,,,,,
PFIN11,,,,,,,,,,,,,,
PETZ3,,,,,,,,,,,,,,
PRIO3,,,,,,,,,,,,,,
BRDT3,,,,,,,,,,,,,,
